index: 0
( 4.52315746775599790E-08 , -4.51824028061952551E-09 )
( -2.57277040672936728E-08 , 5.49409393124582657E-09 )
( -1.07081596502889866E-08 , 2.34350808910590779E-09 )
( 4.00346995512757046E-08 , 6.45561734555894719E-09 )
( 2.88953062971247682E-08 , -1.12616010958313691E-08 )
( 5.84160008150843552E-09 , -3.39154449170996968E-09 )
( -1.67477324922297313E-08 , -2.39198637554160417E-08 )
( 2.05216122011128049E-08 , -6.28666207098833852E-08 )
( 5.74506663087922290E-08 , -2.22286154367299425E-08 )
( -1.26643722561501380E-08 , -9.70017143956367403E-09 )
( 2.27020237316047015E-08 , -4.42572031265346445E-08 )
( 1.50347674338338284E-08 , 2.15194008589765196E-08 )
index: 1
( 1.70826813797851691E-09 , 4.52234190704678789E-08 )
( -3.18386478522578581E-08 , 3.91778671259964114E-08 )
( -3.58306950322108535E-08 , 3.41161958849599180E-08 )
( 3.23711704406728617E-08 , 3.86262169839325188E-09 )
( 4.44789878396478158E-08 , 1.36534825094558902E-08 )
( 7.07797810635089444E-08 , -1.05906166606041078E-08 )
( -1.98190456016702579E-08 , 4.65588688087467101E-09 )
( 4.76300759954844555E-09 , 1.93144644833149871E-08 )
( 2.96455337233202975E-08 , -1.36420832741970942E-08 )
( 2.56269804962163540E-08 , 8.10307345763582757E-09 )
( -4.79463673528678965E-09 , -2.43707781065712459E-08 )
( -3.81991292164211283E-08 , 3.03199655321287969E-08 )
index: 2
( -1.17044653414513998E-08 , 1.73992869898471368E-08 )
( 1.53064481861869098E-08 , 1.87890753961833767E-08 )
( -1.97533352414977646E-08 , 3.32052806393833514E-08 )
( 2.46398641464575062E-08 , -2.35501408850780151E-08 )
( 2.94793899895224513E-08 , -7.04125921302759823E-08 )
( 1.75873230879952065E-08 , -3.31370578682265479E-08 )
( 3.62610359281484594E-08 , -1.72720283476391859E-08 )
( -6.63640703279540978E-09 , -7.12587761998377315E-09 )
( -2.07286835541224241E-08 , -4.75726464776108347E-09 )
( -3.47439868337990489E-10 , -4.40246799796118270E-08 )
