x=0,y=0,z=0,t=0
( -3.71902505070352973E-10 , 3.25603316734057569E-10 )
( -5.45112037614815120E-11 , -2.47689839217122985E-10 )
( 9.72289715154339889E-11 , -1.20141546750002890E-10 )
( -3.37975724968681481E-10 , -9.74860922489090218E-12 )
( -3.06390036008270057E-10 , -2.31502852326624356E-10 )
( -4.63383267945726825E-11 , 4.83287588301629468E-10 )
( 5.66099907692730592E-10 , -4.69386141258753556E-10 )
( -1.82784936625063393E-10 , -5.08375495119270911E-11 )
( -8.72823837248926152E-11 , -4.26212339917017345E-10 )
( 2.79478861840753337E-10 , -2.52258755286592803E-10 )
( 8.32375041317950959E-11 , 2.01084242457871325E-10 )
( 6.28729515234205587E-11 , 2.80329040911901347E-10 )
x=1,y=0,z=0,t=0
( 3.55076263498876710E-10 , 2.73361553277832324E-10 )
( -5.22999043400704745E-10 , -6.36213847655420045E-10 )
( -3.20529708283082341E-10 , -3.79866427197502078E-10 )
( 2.22984333202105817E-10 , 1.50752625163911144E-10 )
( -3.25995836841907347E-11 , 1.07403264403712486E-10 )
( -5.27883573409680500E-11 , -4.19098574305089229E-10 )
( 6.11850414028341901E-11 , 3.85800615805221140E-10 )
( 5.10998677568067460E-11 , -7.15588430726950045E-11 )
( -3.68956595643999621E-10 , -6.91156428174477362E-10 )
( 3.11121128776642397E-10 , -3.46906084268245556E-10 )
( 1.11412283152034284E-10 , 6.10225033722727958E-10 )
( 4.25732464303539626E-12 , 3.41744419620871737E-10 )
x=2,y=0,z=0,t=0
( 2.30269841563346085E-10 , 7.45852517069147737E-10 )
( -1.46980794008331905E-10 , -2.58452887514339499E-10 )
( 2.54345789466466972E-10 , -3.02921183479952981E-10 )
( -2.31134792126002130E-10 , 2.68229550073468760E-10 )
( -2.61734395873138168E-10 , -6.79087854542483030E-10 )
( 3.24711429992654708E-10 , 5.49105692050632500E-11 )
( -4.94660989583800964E-10 , -5.40378960870903486E-10 )
( -3.89731816601521628E-10 , 1.94200284728556664E-10 )
( 2.84659306167330549E-10 , 2.08407632162882032E-10 )
( 1.34691353640136388E-10 , -1.30731085450158950E-10 )
( 2.61365296567195856E-10 , -3.79349724242130199E-10 )
( 2.09358516192287889E-10 , -1.01867879493359808E-10 )
x=3,y=0,z=0,t=0
( -4.31087666008960167E-11 , -6.84536340179279639E-10 )
( -3.79125709507765528E-10 , 3.74625311095876143E-10 )
( -1.78824445902868062E-10 , -7.88004180105038989E-11 )
( 4.68919916126697443E-10 , 2.65177882686504966E-11 )
( -3.38514232062140098E-10 , 1.52153546882002322E-10 )
( 7.59381314368524823E-10 , -7.55200078534845413E-11 )
( 5.50501019249985936E-10 , -2.29831180499213948E-10 )
( -5.18990666044500862E-10 , 2.94420171337627704E-10 )
( 5.87028786754485083E-10 , 1.00051390523654245E-09 )
( -4.49637768380290253E-10 , 4.77144022855400785E-10 )
( -3.55697634011080228E-10 , -7.33507894981030489E-10 )
( 3.06222590648828077E-10 , -5.53403176194525888E-10 )
x=0,y=1,z=0,t=0
( 1.43837574978929873E-09 , -7.41743613986906139E-10 )
( -2.87518365487385996E-10 , 2.20735442411844022E-10 )
( -1.88238751804638454E-09 , 4.10183792148081502E-10 )
( -9.49687297868133125E-11 , -1.70218174524316290E-10 )
( -2.06330646002802848E-10 , 4.63870125557628931E-10 )
( 5.83332055906691017E-10 , 1.00236874145002145E-09 )
( 1.01702122809029134E-10 , -3.53271044008295400E-10 )
