index: 0
( -3.21021611456382583E-01 , -1.13788099612057581E+00 )
( 3.54166984637630189E-01 , -2.70580230580612591E-01 )
( -8.29308882283307791E-02 , 1.24687554172349624E+00 )
( 3.57407152921052143E-02 , 8.47541618488052206E-01 )
( 1.18396271188848723E+00 , 6.26810939302559350E-02 )
( 1.08254386273237113E+00 , -9.42666319928516482E-03 )
( -2.38672244570148351E-02 , -1.45113341785989947E-01 )
( -1.03096924112467891E+00 , 1.75101779124214272E-04 )
( -4.39916060646883877E-01 , -7.27147752332791327E-03 )
( 8.47803213036761316E-01 , -2.46735483429550623E-01 )
( -1.55764659597005473E-01 , 1.92322235956195825E-01 )
( 9.15726297288952606E-01 , 4.59207341480022346E-01 )
index: 1
( 5.26505317154159713E-01 , -8.50289340466457766E-01 )
( 4.45234890688765983E-01 , -1.05192408838546370E+00 )
( -6.01058979670578752E-01 , -5.02514270856039391E-01 )
( 6.51981859996471763E-02 , -8.21288725630577643E-01 )
( -2.95892881546425679E-01 , -7.93495654725287158E-01 )
( -1.92188448633428488E-01 , 8.85770996702643365E-02 )
( -1.72360171410677010E+00 , 6.90184919117546647E-01 )
( -6.98257586656815810E-01 , 3.30598135020742867E-01 )
( -9.25113900763952390E-01 , -2.89568149335900027E-01 )
( 6.45258980727355796E-02 , -7.58330052694802470E-01 )
( -9.95435648462331790E-01 , 2.50899608423278797E-01 )
( -1.71974223953275857E-01 , -4.30267111901689037E-01 )
index: 2
( 2.73472870143469493E-01 , -7.12644088744430526E-01 )
( -4.19970462483637452E-01 , -7.41861692256595706E-02 )
( 1.92436046342546158E-01 , -6.13992922798161977E-01 )
( -8.46440946364185098E-01 , -1.16385097023960798E-01 )
( -1.12324794912046499E+00 , -7.95045504171866924E-01 )
( -1.07126098144593396E-01 , -2.73428410178663150E-01 )
( 1.19066572989227515E-01 , -5.94566022615375167E-01 )
( -5.48185911897427602E-01 , -3.48355213759064697E-01 )
( -5.57360102371473265E-01 , -1.21518413904337180E-01 )
( -3.79821049032061042E-01 , 3.83959343104850637E-01 )
( -3.27956712059567779E-01 , -8.55132445154290100E-01 )
( -1.16740069071818289E-01 , -9.54120290410964467E-01 )
index: 3
( 5.87989252856144673E-01 , -6.40450800023493416E-01 )
( 3.84155751137681467E-01 , -3.39769978269179429E-01 )
( 6.47067493463330479E-01 , -4.76741651944574019E-01 )
( -8.99922342336216152E-01 , 5.81701281761921152E-01 )
( -3.10958443111216343E-01 , 2.35895290578533284E-01 )
( -1.07714862443835169E+00 , 1.12946684381237716E+00 )
( -6.72779361436231071E-01 , -1.34404009344907682E+00 )
( -1.98022287911403250E-01 , 1.86015596594284016E-01 )
( 7.41557227403960018E-01 , -1.15565681271211051E+00 )
( -1.10940952480064681E+00 , 6.87282827254125706E-01 )
( -1.06931510717549005E+00 , -6.35372757455194059E-01 )
( -2.36393042242727586E-01 , 7.01720515436580428E-01 )
index: 4
( 8.57402882466591243E-01 , -1.07787441801335215E+00 )
( 9.00485148007890812E-01 , -1.89081842552180102E+00 )
( -1.87052441585621732E-01 , -7.91221118082154784E-01 )
( -4.41606049119875887E-01 , -5.63758271749976447E-02 )
( 6.31508435094245146E-01 , -6.57519238168482456E-02 )
( 8.05436637493254781E-01 , 6.65811947874119348E-01 )
( -5.49182002356306875E-01 , -7.94286110667439149E-01 )
( 2.53823387832179337E-01 , -7.54107071398667617E-01 )
( -1.38447693403386007E+00 , -3.35253768116546336E-01 )
( -1.39811401489569476E+00 , 1.32341963070820801E+00 )
( -3.35801333737932084E-01 , -4.96395193600057572E-01 )
( -3.29172743863266504E-01 , 1.04721242320385244E+00 )
index: 5
( 8.27669994751864979E-01 , 5.85859463977342454E-01 )
( 9.08640409450404918E-01 , 3.98142240380647661E-01 )
( -1.21473519048258960E+00 , -5.69506476826755037E-01 )
( 9.25095689339203164E-01 , 1.13123715261593927E+00 )
( -6.83411409305636930E-01 , 1.33816283493940058E+00 )
( -6.07677883086130022E-01 , -1.11174495914981575E-01 )
( 5.15366791366101529E-01 , -6.01954964145994184E-02 )
( -1.07416528216368956E+00 , 4.43216329283871058E-01 )
( 3.98006205480143149E-01 , 3.28934752952049769E-01 )
( -2.77107517808990345E-01 , 1.36065366796094955E+00 )
( 1.44230148519031087E+00 , 8.36581226361352792E-01 )
( -2.20942447127952502E+00 , -8.10023741905740780E-01 )
index: 6
( -1.78266980833540839E-01 , 4.71485081989961308E-01 )
( -7.73573537467488026E-01 , -2.02550016061409544E-01 )
( -1.28773908675423998E+00 , -1.05910344866434225E+00 )
( 4.38733214576234265E-01 , 5.68880605898459790E-01 )
( -1.33523689184738021E-02 , 1.09799908256975498E+00 )
( -1.15857218338962564E-01 , -5.60141990948772039E-01 )
( -2.87936496985111257E-01 , 7.57271637815447596E-01 )
( 1.96528782725361589E-02 , -9.25591593036190902E-02 )
( 6.43638251354527458E-01 , 7.02895286455503032E-01 )
( -6.74623375785207258E-01 , 1.47061525157450912E-01 )
( -8.05621417811572926E-01 , -1.06088684638812977E-01 )
( 4.36489626468419933E-01 , -1.19621282746454605E+00 )
index: 7
( 1.62790136360093957E-01 , 8.49215424539115915E-01 )
( 8.92678447274390274E-01 , -3.78213751834549916E-01 )
( 1.58887969200335744E+00 , -1.96338499683455847E+00 )
( -4.31659366095336117E-01 , -8.82770280493903881E-03 )
( 6.93545482361160537E-01 , 2.13755783926615817E-01 )
( -1.34204229310698286E+00 , -3.39251214590161609E-01 )
( 8.56372630782159527E-01 , -2.48208691225515227E-01 )
( -1.47135048804034629E+00 , -3.46282670831175976E-01 )
( 6.95893759117853117E-01 , -9.21613732841474048E-02 )
( -1.44191632923896540E+00 , -3.38391480086706720E-01 )
( 9.49768815523071464E-01 , 5.00270365072221446E-01 )
( 6.78087119900034452E-01 , -1.13874406131378673E-02 )
index: 8
( 7.17218037125550434E-01 , -8.33291984974244615E-01 )
( -5.40531803613342743E-01 , -1.79954644092272270E-01 )
( -2.65969145657851569E-01 , 6.23091632832642905E-01 )
( -1.66601543128056906E+00 , -6.53148852350799308E-02 )
( -3.07819023147619442E-01 , 1.03122655271653652E+00 )
( 3.87169906747084180E-01 , -1.51463359964977085E+00 )
( 9.16812003533585690E-02 , 8.55766154583070371E-01 )
( 1.52088537001359980E+00 , 7.29589923115324779E-01 )
( 1.49867119206975552E+00 , -7.73156710713572615E-01 )
( -3.92493064505466047E-02 , -4.29688963581495442E-01 )
( 8.46964388481836417E-01 , 3.26252138218178667E-01 )
( 5.58646172669057250E-01 , 4.88450547899951237E-02 )
index: 9
( 1.96616351865418149E-01 , -1.00965644125496357E+00 )
( -3.47250604489576065E-01 , -1.15901860338671461E-01 )
( -8.49724198506415507E-02 , 1.11864332321863102E+00 )
( -2.90536838448190393E-01 , -4.35152793505974023E-01 )
( -1.25902357019093780E+00 , -6.37398452585922759E-01 )
( 2.77856169037223488E-01 , -6.40219833678218664E-01 )
( -1.31350422628239749E+00 , -8.79177344904533808E-01 )
( -4.97850302180483262E-01 , -1.04907830870713425E+00 )
( -6.37019303886616428E-01 , -2.99328302306884786E-01 )
( -7.46961120354893926E-01 , 4.33562541648670308E-01 )
( -4.46816459440955438E-01 , 1.19844926137760610E+00 )
( 2.46082940641972503E-01 , 1.82278063325352480E+00 )
index: 10
( 3.70036419305845521E-01 , -4.30399066550299025E-01 )
( 5.12329852750764592E-01 , 8.88159563921272377E-01 )
( -1.93712204009743399E-01 , -1.34927125590705566E+00 )
( 3.08525221691200613E-01 , -3.16596946456890682E-01 )
( -2.06424531740756168E+00 , -1.45445651793498754E+00 )
( -1.12177970528266302E+00 , 3.51398956638651228E-01 )
( 8.76316978240565814E-02 , -6.96775665144730549E-01 )
( 1.67577591300198614E-01 , -6.93438509229204358E-01 )
( 5.06647796074054191E-01 , 1.20769880307892263E-01 )
( 5.13126385950755104E-01 , 9.45443692731558705E-01 )
( -2.61671885668562032E+00 , 7.11329364643284223E-01 )
( -1.47395691945910318E-01 , -5.07063619890985584E-01 )
index: 11
( 2.82733032942919127E-01 , -9.75790041299418487E-01 )
( -1.60586770549563740E+00 , -9.70617390349221898E-01 )
( 8.23786310277666245E-01 , -3.71345076376139116E-01 )
( 7.98125314800634200E-01 , 6.09537422805284446E-01 )
( -8.01434068999365284E-02 , -4.03914789082607140E-01 )
( -4.45172331358053841E-01 , -5.91796876210821665E-01 )
( -5.15618670286356953E-02 , -8.29295553905872618E-01 )
( -1.60760933344774842E-01 , -6.41985870795970665E-02 )
( 2.51019529292683563E-01 , 4.30078950079945954E-01 )
( 2.63975200578400571E-01 , 1.11987265859150065E+00 )
( 8.61302561225137819E-01 , -2.37565783168617289E-01 )
( 7.51755658954804340E-01 , 1.73021318342686059E+00 )
index: 12
( -1.69371730572265206E-01 , -2.08697738679168993E-01 )
( -1.55378264776527275E-02 , -8.68034599811210006E-01 )
( 6.84407206606653384E-02 , 4.81644305328074951E-01 )
( 2.22848386652750752E-01 , 2.87082555306310161E-01 )
( 8.35516279923619543E-01 , -2.65943536145908099E-01 )
( -3.67054848925269850E-01 , 1.29382415594712613E-01 )
( -1.87763964448220438E-01 , 1.03241642273228740E+00 )
( -2.81726594060953683E+00 , -7.96635536358275331E-01 )
( -1.97662096987018983E-02 , -8.54631970427832899E-01 )
( 8.12062277547626332E-02 , -1.29745020001762756E+00 )
( -4.20453952813660159E-01 , 3.81623174801858533E-01 )
( 1.48030213921294396E-01 , -9.36051638116583873E-01 )
index: 13
( 9.53511345889204054E-01 , -5.45160297415459086E-02 )
( 3.27318441931360948E-01 , -1.38551263949719128E+00 )
( -4.99153472584419611E-01 , 4.25864094639267887E-01 )
( 6.00688359527930316E-01 , 1.52927431268773262E+00 )
( 1.17022132619090247E+00 , 1.43763779432414140E+00 )
( -1.65771048966119960E+00 , 4.04157217056039852E-01 )
( -1.57178825450177917E+00 , 2.61957718196638711E-01 )
( -1.34180745415733244E-01 , 2.55394581975985857E-01 )
( 6.59081936569968385E-01 , -2.07543763451568525E-01 )
( 1.40781625293856272E+00 , -1.16930925096479288E-01 )
( -6.92820235311983890E-01 , -3.94784042141069047E-01 )
( -1.36845595138043463E+00 , 3.71314689243198659E-01 )
index: 14
( -4.78502303868843029E-02 , 5.09973606244635613E-01 )
( 1.64722208172762596E+00 , 4.58957429340999035E-01 )
( -3.94086097805191826E-01 , -5.82415571737235571E-01 )
( 4.89678591357891185E-02 , -2.95699335062620583E-01 )
( 5.26618463589954455E-01 , 3.24153290082391965E-01 )
( -1.29479465250320613E+00 , 1.62235029906310113E+00 )
( -9.33749001730209416E-02 , -1.31855004383082119E-01 )
( -2.84916481656920184E-01 , 5.51729208389345360E-01 )
( 3.71511342429496294E-01 , -5.60768975529119751E-01 )
( -1.49812142627570949E-01 , 5.82952515732925725E-01 )
( 1.24017489481961540E+00 , -3.58050428009966133E-03 )
( -3.71223818918970716E-01 , 5.20274917892685623E-02 )
index: 15
( 2.21900387791127807E-01 , 5.83861970701394228E-01 )
( 4.30459355386976716E-01 , -6.15261299238419657E-01 )
( -1.85386040291237686E+00 , -6.81288059016722847E-01 )
( -1.60108713795703322E-01 , -6.43687343788444499E-01 )
( 1.63761824632508723E+00 , 7.84189154199126937E-01 )
( -1.06322064992944831E+00 , 6.85730974167183094E-01 )
( 1.54072325842677132E-01 , -8.98558394653521053E-01 )
( -6.45252264096502492E-01 , -1.71727597412713345E-01 )
( 1.38636347520859876E-01 , 4.51778094254265405E-01 )
( 9.64813656298560973E-01 , 1.69785947041010549E-01 )
( -6.07688543555882976E-01 , 1.10157949960154089E+00 )
( 3.96749494579518525E-01 , -3.87123625529205151E-01 )
index: 16
( 9.59204249181272867E-02 , 1.21833007349424127E+00 )
( -7.42524022527814354E-01 , 1.79979337043618615E+00 )
( -1.22337676110325044E+00 , 4.71398314246356975E-01 )
( -2.44333441547395780E-01 , 7.48386575368536339E-02 )
( -5.72146373039639000E-01 , 1.07089132327199077E+00 )
( -1.19791952510854033E-01 , -1.40750932761468661E-01 )
( 1.94362957548007975E-01 , 1.86109997236674873E-01 )
( -3.05692509756650244E-01 , -1.28093096078697344E-01 )
( -6.20723871589903720E-01 , -5.47822226383382516E-01 )
( -2.29701000187410818E-02 , 2.36670692267681934E-02 )
( 9.94891661940367045E-01 , -3.83687364252923102E-01 )
( 6.88645629890781430E-02 , 5.15060097191619937E-01 )
index: 17
( -5.25762542999760440E-01 , 8.55954579650678560E-01 )
( -3.81072645127542964E-01 , 2.85118579572624320E-01 )
( -9.52004989567836468E-02 , 1.17583111939325224E+00 )
( 5.05252723484674982E-01 , 1.39534126817553150E+00 )
