index: 0
( 3.50826215188039102E-12 , 1.77517079356911508E-11 )
( 4.19856436892983679E-13 , 1.01706842712331460E-12 )
( -6.96552737824763489E-12 , -3.20348899752175592E-12 )
( 9.52249488379189082E-12 , 1.22634234613030743E-11 )
( 6.40372948107738837E-12 , -1.24382319788276158E-11 )
( -1.58132509467273561E-12 , 9.79134965598189360E-13 )
( -1.40335257015480768E-12 , 3.94970110612264090E-12 )
( -3.89370201790200539E-12 , 7.42229064865396494E-13 )
( -7.49825200002401957E-12 , 8.64445982203449975E-12 )
( -5.07313016084909806E-12 , 1.44790210310641734E-11 )
( -9.31491414625382614E-12 , -3.25201180810659278E-12 )
( 6.09636669613598401E-12 , 8.17792113108665889E-13 )
index: 1
( 2.20228331557849773E-12 , 1.10830280973066874E-11 )
( -4.62121904090193034E-12 , 1.21720961137074942E-12 )
( 1.51587974688318634E-11 , -6.72995788458235235E-12 )
( 5.34218964316664812E-12 , 4.71283458568077704E-12 )
( -1.48969330901169189E-11 , -1.12146500315014273E-11 )
( 1.66797070799902939E-12 , 1.55251235012863785E-12 )
( -9.78856674508222779E-12 , 1.04040920083587161E-11 )
( -5.02346676517196458E-12 , 4.52631366981550175E-12 )
( 3.75950376256936931E-12 , 2.38156570354747862E-13 )
( -5.59496868731030179E-13 , -1.08531279889585859E-11 )
( 1.67188472561956733E-11 , -2.82173846316915476E-12 )
( 5.65872001047470194E-13 , 9.92419087008340610E-12 )
index: 2
( -1.49724068929776932E-11 , 1.35262760160188693E-11 )
( 1.66737376760443534E-11 , 8.98743025672359296E-12 )
( 9.20289734575771373E-12 , 7.39364214819076255E-12 )
( -3.56727892954943431E-12 , -2.69223267699950038E-12 )
( -1.25914646044660846E-11 , -1.61484417763699597E-11 )
( 3.80440099365625171E-12 , 8.04892195979263939E-13 )
( -8.31685687565225855E-12 , 3.11813919667064875E-12 )
( 1.07574136446199607E-11 , -6.40499856200474484E-12 )
( 3.84379968689954085E-12 , 4.38020067520289416E-13 )
( -3.20755897901014892E-12 , 9.56461271566105973E-12 )
( 2.88986054254509075E-13 , 2.57366767710660501E-12 )
( 1.88685131685095279E-12 , 5.79507995475077165E-12 )
index: 3
( 2.66740794263844825E-12 , 1.54532078739056983E-11 )
( -2.86109730404692958E-11 , 1.02794609580902202E-11 )
( 1.26857454706185317E-12 , -1.84539154930563196E-11 )
( 8.38325061171337527E-12 , -4.73466132627541991E-12 )
( 7.23117715679195079E-12 , 9.38332700108983191E-12 )
( -3.23097257267841561E-12 , 1.32813816308766677E-11 )
( 1.39190791455251488E-12 , 6.09411637505550250E-12 )
( -2.97894915680417916E-12 , -1.19290451666199867E-11 )
( 1.41951276937610712E-12 , 1.08435478183014204E-11 )
( 1.88836654908256169E-11 , 4.89094090704091116E-12 )
( 4.79665918673298205E-12 , -6.08002325738352768E-12 )
( -1.83410167000763852E-11 , 1.49688659819178859E-11 )
index: 4
( 6.29854585626324608E-12 , -2.22836169848559565E-12 )
( -8.28600427425502943E-12 , 1.92528080488616084E-12 )
( 7.29634130807861051E-12 , 6.85491827704183461E-13 )
( 5.67407868085682772E-12 , -2.84135524798381956E-12 )
( 1.11420788382351259E-11 , -4.48404177365811086E-12 )
( 2.10502031090916086E-13 , -3.11080322599840566E-12 )
( 1.18243129982515981E-11 , -8.01535763432796040E-12 )
( 1.38874395014238672E-11 , 8.46415118421486181E-12 )
( 4.68356337631183395E-12 , 7.29994719451401399E-13 )
( -1.51416067139223535E-11 , -7.69182893975958051E-14 )
( 9.85374402172982453E-14 , -4.75195861572879197E-12 )
( -4.64503227510911004E-12 , -7.70183348564555851E-13 )
index: 5
( -1.66515933218420991E-11 , -5.47027401638774986E-12 )
( -1.44359777421137977E-12 , -1.42372502907948012E-11 )
( 5.63758829027590690E-12 , 2.91854835535707143E-12 )
( -1.21907980781516565E-11 , -5.87176835553547932E-12 )
( 1.40869553034808133E-11 , -9.50148464613492294E-12 )
( -2.28584472592258243E-12 , -1.56499739559274616E-12 )
( -1.36383272160895431E-12 , 1.20469979841369396E-11 )
( 8.49976515658655636E-12 , 1.96956808145522476E-12 )
( -1.84793074332459055E-11 , -4.94041761281500668E-12 )
( -7.82494073713914044E-12 , -3.09738375482511377E-13 )
( 1.06739162468325179E-11 , -2.08519677944584275E-12 )
( 6.27892503507105213E-12 , -7.61125845970439362E-13 )
index: 6
( 2.08047366456275703E-12 , 1.35037227551812046E-11 )
( 3.58475559854863089E-12 , -5.34972468168480824E-13 )
( -4.74268240361332072E-12 , -7.35299263224933380E-12 )
( -1.45297644117162801E-11 , -1.40538637202200813E-11 )
( 1.50999071124304885E-11 , -4.24976895334826453E-13 )
( -2.79620377173489660E-11 , 1.25973495021083690E-11 )
( -5.82323100907337381E-12 , 1.30117572953400299E-12 )
( 1.14573536701862401E-11 , -8.73181978166109778E-14 )
( -2.90151279299041517E-12 , 9.41036505170204890E-12 )
( 9.31147946812090584E-12 , 1.25534198644683110E-11 )
( -5.16760168724820477E-13 , 8.38381186148249743E-13 )
( -1.04927090144067857E-12 , 8.76921586848577144E-12 )
index: 7
( 8.45775763073074237E-12 , -5.92522849162111127E-12 )
( -5.02354049354697432E-13 , 1.69811146052805106E-11 )
( -2.24445455203134878E-12 , -1.35300262542096798E-12 )
( 1.32256394677350858E-11 , -1.13383879160791016E-11 )
( -2.35080110563035996E-11 , 1.87995703351985737E-11 )
( -1.04710532135598112E-11 , 8.65352009024506239E-13 )
( 4.01336439888281614E-12 , -1.22138254994294139E-11 )
( 6.84475146596944583E-13 , 7.36319275573868568E-12 )
( 9.69510373432587443E-13 , -1.11603644069214988E-12 )
( 2.26527016042059674E-11 , -3.93098940805093805E-12 )
( -1.48963145138543222E-12 , -5.21279886991993643E-12 )
( -1.20084546112083333E-11 , -7.51640763601926403E-12 )
index: 8
( -5.87538225180723943E-13 , 4.54872242750173003E-12 )
( -6.52555687485102886E-12 , 6.92557790116174332E-12 )
( -9.11058411198407405E-12 , -2.70893009416909633E-12 )
( 2.21385790821581030E-12 , 2.08491370699188344E-11 )
( -6.40982580756448750E-12 , -1.98251869476884693E-11 )
( -1.59602903111715558E-12 , -8.85242582208333621E-12 )
( -8.00392596801888836E-12 , 7.32703006872381978E-12 )
( 1.15512059461044911E-11 , -5.20394485523470801E-12 )
( -7.25670087472338772E-12 , -2.19283797318610461E-12 )
( -7.03908109812438186E-12 , 3.70185064227456242E-12 )
( 2.59721375569739887E-12 , 1.12328167658726059E-11 )
( 3.05151705712540672E-12 , -4.23695487148294317E-12 )
index: 9
( 7.59663762528008957E-12 , 1.47399402294804618E-12 )
( 5.80482113108413690E-12 , 1.63078774089038972E-11 )
( 6.04320057212334802E-13 , 3.69174267311605184E-12 )
( 5.46185588744562617E-12 , -4.78677972890669181E-12 )
( -1.21083847525452691E-11 , 7.29914462253679647E-12 )
( 3.82894943861984365E-12 , 3.08877079036625436E-12 )
( 8.60910292926157455E-12 , 3.54760794845143438E-12 )
( 2.22652981937389886E-12 , 1.00724711351411031E-11 )
( -1.65649410472706526E-12 , -2.00541701003251220E-12 )
( -8.35353110046137945E-12 , -2.44019109130184584E-11 )
( -9.35316688119418413E-12 , -4.98373022852470458E-13 )
( 9.50871537247419153E-12 , 9.23096605870259954E-12 )
index: 10
( 5.73585293457238983E-12 , 5.92537413627393233E-12 )
( 7.70522352131079524E-12 , -1.28970630151326195E-11 )
( -2.74562315536264621E-12 , -8.86834631941411735E-12 )
( -3.29269370989446619E-13 , -1.70480431529068144E-12 )
( -3.10346309104439012E-12 , 1.57010958453786928E-11 )
( -1.40291263393440044E-11 , -2.03843411713210054E-12 )
( 6.45130576923519200E-12 , 2.99987833019486972E-12 )
( -2.63403936804015685E-13 , 1.37539576962299640E-12 )
( -1.40267274793470580E-11 , 1.52721001878354044E-11 )
( 6.85229064095642472E-12 , -3.03821043835707512E-12 )
( -1.19589700288686323E-12 , -5.41452861951285860E-12 )
( 5.75945026463061068E-12 , -2.78410322586885798E-12 )
index: 11
( 2.05201101598227451E-11 , 3.72113002017490355E-12 )
( -1.61727215706843005E-11 , -4.47379656065571582E-12 )
( -1.38995828087801248E-11 , -2.01038837662468870E-12 )
( -7.54469497364204962E-12 , 2.54953749885633313E-11 )
( -4.45335129883438675E-12 , -3.99511725003468956E-12 )
( 2.16931212193614420E-12 , 1.03261925546973316E-11 )
( -1.56089304746267465E-11 , -1.43468773308756711E-12 )
( 1.61922033176194607E-11 , -2.71364219519577753E-11 )
( -2.39398759775684771E-11 , 7.49500533501009035E-12 )
( 9.67674392934868807E-13 , -3.46476274725013645E-12 )
( -6.63996182723888283E-12 , 2.34831730159254649E-11 )
