index: 0
( 1.02337216338023972E-04 , -6.83495936411698509E-04 )
( -9.50422539570863496E-04 , -2.40994109926356121E-04 )
( 3.18754763500625872E-04 , -7.29461061634826408E-04 )
( -2.95099983486525348E-04 , 1.25840453714531073E-03 )
( -1.35233497486547194E-04 , 5.32640524630889102E-04 )
( -2.86420596338661678E-04 , -1.03783909416971113E-03 )
( -3.16296926903463741E-04 , 2.76473074254942534E-04 )
( 2.45624016373460318E-04 , -6.98328053179661317E-04 )
( -6.74042785415227127E-04 , -5.00976939274357710E-04 )
( -4.09630026636587704E-04 , 1.09565144899351121E-03 )
( -2.70733220303499183E-04 , -7.36349457335370929E-04 )
( 1.15563505183275458E-03 , 3.38687656163570478E-04 )
index: 1
( 6.43176842609626247E-04 , -8.23238162747988705E-04 )
( -2.83336122980827046E-04 , -3.58003064293639824E-05 )
( 5.04122874182907996E-04 , 1.68278422881309618E-04 )
( 6.17486202034306158E-04 , 2.06896397815327588E-04 )
( 1.72027415060075229E-04 , -6.44521208660946924E-04 )
( 3.27465729100439836E-04 , -4.11234644634502259E-04 )
( -1.96863281959768323E-03 , -4.35100442688192857E-04 )
( 2.15199490590760193E-04 , 2.67071589657174452E-04 )
( -9.06409917476086371E-04 , -1.70616807469237044E-04 )
( -2.24670635502815684E-04 , 2.34153494076578660E-04 )
( -2.68270037821294847E-04 , -1.59461003167867921E-03 )
( -3.24972279321244457E-05 , -1.11879456305648208E-03 )
index: 2
( 9.63692320004575723E-04 , -6.79799461863501899E-04 )
( -1.76217834507415749E-04 , -4.28779284550096494E-04 )
( -9.46471251014179655E-04 , 8.69061749733978316E-04 )
( -5.24375539751072064E-04 , -5.14988305861769366E-04 )
( 3.51305065651834770E-04 , 1.25218509827014750E-03 )
( -1.90040461333248936E-04 , -6.49149498128273128E-04 )
( -1.06274052073538358E-03 , 7.68894966896284610E-05 )
( -3.08582802157376717E-04 , 4.50447505826001072E-04 )
( 3.78843348476061393E-04 , 6.40177328970341223E-04 )
( 9.17400534851328664E-05 , -1.07467219456775019E-03 )
( 9.45438039306005984E-04 , 4.41428941772151044E-04 )
( 2.35023064027793053E-04 , 2.38974653011503248E-04 )
index: 3
( 8.12198825567021949E-05 , 5.49383366056967800E-04 )
( -3.63572145781392757E-04 , 7.51891279440105795E-04 )
( 1.44746127053010194E-03 , -7.46872876679865300E-04 )
( 7.99973460296123746E-04 , 2.03836934725601897E-04 )
( 7.97862493097939744E-04 , -4.79806227400708229E-04 )
( -2.97343587928040713E-04 , -1.19281924250216670E-04 )
( -1.09870779724994660E-03 , 2.16147305766318165E-04 )
( -1.06733999990244236E-03 , -5.37586631272439540E-04 )
( 8.88666939632175648E-05 , 2.02680846776674554E-04 )
( 3.17819917760286171E-04 , 1.48963717481046605E-03 )
( -2.15501211185203299E-04 , 1.26638237527283552E-03 )
( 2.81981597645658381E-05 , -3.16229062696102390E-04 )
index: 4
( -3.33085385216008289E-04 , 9.03333075832578585E-05 )
( -1.10492869619372922E-03 , -1.05946143366653220E-03 )
( 4.72797973345999347E-04 , 6.36995234352694811E-06 )
( 4.48166377138932556E-04 , 1.65021346237497336E-04 )
( -8.13984779332891858E-05 , -6.09119319550547678E-04 )
( -7.75378310383295416E-04 , -3.89783447209417818E-04 )
( 3.33316423447517452E-04 , -8.36209295452931193E-04 )
( -4.85203206249652363E-04 , 4.39502697830398861E-04 )
( -4.42471585495517357E-04 , -7.16468244991941717E-04 )
( -8.60342228968007366E-04 , -5.97590877567022146E-04 )
( 4.27693188967298013E-04 , 7.74394634220793043E-04 )
( 8.47456748629102623E-04 , 7.67767684182708247E-05 )
index: 5
( 5.58430145297530035E-04 , 4.82365771605997636E-04 )
( 5.07800977357859666E-04 , 5.21370907268021728E-04 )
( 2.26758056419144611E-04 , -4.02152010361840097E-04 )
( 6.41512219093209836E-04 , 1.19173112772420070E-03 )
( 6.29768879883930749E-04 , 2.98183068026169158E-04 )
( -5.66393539193290707E-04 , -3.04343112134901946E-04 )
( 8.05324706690543814E-04 , -5.12997166131896713E-05 )
( -1.35318309404523643E-04 , -4.27793589917458512E-04 )
( 2.91341389385324522E-04 , -1.48437404788343214E-04 )
( 8.76065829362350913E-04 , -1.01068811282010334E-03 )
( -4.39914564669752380E-04 , 1.26464178123538665E-04 )
( 1.44641821635743857E-04 , -6.44965508447221773E-04 )
index: 6
( 9.35763955807976757E-04 , -7.81177538086882646E-04 )
( 1.76302869562502550E-04 , 5.08987063170340619E-04 )
( -3.47187573099676326E-04 , 3.68630834978915002E-04 )
( 4.02125547661341762E-04 , -1.05468665323744438E-03 )
( -1.01979071567299701E-03 , -3.74659108996155477E-04 )
( 1.05953918132212633E-03 , -1.19140622173042319E-03 )
( -2.22540710591785304E-04 , 4.18304048223429141E-04 )
( 5.43848484545906858E-04 , 3.69205806446158387E-04 )
( -8.34252642253952882E-05 , -2.61660528009213106E-04 )
( 4.75814640592779094E-04 , -6.30935698900948402E-04 )
( -4.12133140482782816E-05 , -1.26702251545071230E-03 )
( -1.17548187919332310E-04 , -1.48080084890987338E-04 )
index: 7
( 3.18049407667148239E-05 , -8.72138712104004402E-04 )
( -8.06917350866320467E-04 , 1.05564416756904968E-03 )
( -5.92424766641383113E-04 , 9.75307329044121504E-05 )
( -9.13145145099239237E-05 , 1.16786553745123946E-03 )
( -5.95912786907977889E-04 , -8.75275292415658756E-04 )
( -6.59044730840415869E-04 , -9.01114049121037701E-05 )
( 1.04836986167800321E-03 , 2.65701889361826937E-04 )
( -9.84193065966076095E-04 , 4.15442632992419139E-06 )
( -5.38355487224113829E-04 , 5.47818220637385036E-04 )
( 2.62513906924204490E-04 , 6.33192429923638009E-05 )
( -2.88618531647644725E-04 , 7.31022189734338058E-04 )
( 1.04440743941634382E-03 , -6.94593999691521915E-04 )
index: 8
( -4.06276709163601877E-04 , 7.48058844939467581E-04 )
( -1.02278958141395547E-03 , 5.15412123629238063E-04 )
( -1.17145282324374262E-03 , -1.36251561320851642E-03 )
( 1.10543723491270248E-03 , 9.90958701533161974E-04 )
( -2.20948267829864081E-04 , 5.17775666481495368E-04 )
( 1.59971856217212870E-04 , -6.83886449090156858E-04 )
( -5.47862742616953154E-04 , 5.66957880422946665E-04 )
( 8.19121033707340216E-05 , 5.95316069036694144E-04 )
( -9.01960561987541075E-05 , 3.36767150375496529E-04 )
( -1.92371229941621182E-04 , -3.56316888727112703E-04 )
( -1.49358884376973302E-03 , 6.40607082077555216E-05 )
( -5.55466668972153183E-04 , -4.35583981256632935E-04 )
index: 9
( 1.02243326771595520E-03 , -9.86816763442682071E-04 )
( -6.32904888126368777E-04 , 1.31502973167517585E-03 )
( -1.72203489987840562E-04 , 9.55197421020648760E-05 )
( -3.97788358326856949E-05 , 2.26177594308513575E-04 )
( -3.94577793706159621E-04 , 4.21771176888318755E-04 )
( 3.72365448841827681E-04 , 4.82305252313514575E-04 )
( 4.13956249113754194E-04 , -8.30106269270793756E-04 )
( -1.19590795233443263E-04 , -8.33266154512207215E-04 )
( -5.64868453370157334E-04 , -1.96417212440184313E-04 )
( -2.99301419739981731E-04 , -2.42209103058565328E-04 )
( 3.54852696320293102E-04 , -2.78733250916102379E-04 )
( 1.05148623249524910E-03 , -5.71710663698568773E-04 )
index: 10
( -8.81896141671578617E-04 , -1.36150058944355069E-03 )
( 1.86370769117036924E-03 , -8.86427028400854546E-04 )
( 4.45426229628783504E-04 , -1.04089561891225089E-03 )
( -2.11621970000336682E-03 , 1.40207741585017293E-04 )
( -6.67852691457889239E-04 , -6.59390205599132487E-04 )
( 9.62200508853857674E-04 , 5.25413226266688294E-04 )
( -2.67797934714642774E-04 , -7.59040575326972149E-04 )
( 4.74132994640239468E-04 , -7.58683929929956837E-04 )
( -5.72900929296740031E-04 , -7.28404793323192716E-04 )
( 2.67859226778542950E-05 , -5.38990536314250756E-04 )
( 8.73377005875779515E-04 , 2.16781257431029981E-04 )
( 7.16568975362719086E-04 , 1.33351653224311360E-03 )
index: 11
( -1.28126342096407598E-04 , 6.82834997378785249E-04 )
( 6.25422926156296664E-04 , 4.70358624703722927E-04 )
( 8.67910841462628691E-04 , -2.16442703580850635E-03 )
( -1.49227658786476865E-03 , -5.68143479224765785E-04 )
( 8.02041666512236327E-04 , 1.55711628832269785E-04 )
( -2.34663311680206356E-04 , -3.47519246870118441E-04 )
( 2.25857776042555402E-04 , -1.36131508601222760E-03 )
( 1.32346712523174993E-03 , 4.64841738877738904E-04 )
( 3.44604700994861532E-04 , -6.99263828524017937E-05 )
( -3.32853022893607291E-05 , -1.31799466104178930E-03 )
( 1.85076607427991696E-05 , -7.80127627982921557E-04 )
( -7.89742612824575335E-04 , 2.00178622031846028E-04 )
index: 12
( -7.31680347297427106E-05 , 8.81144596310474894E-04 )
( 1.59379193263973758E-03 , 1.06067798026565716E-03 )
( 3.03744804504456974E-04 , 5.98078351733048004E-04 )
( -3.32183390540923820E-04 , 6.37324511357168942E-04 )
( -3.50169477931996497E-04 , -5.67025244940348250E-04 )
( 4.23516867954373062E-04 , 8.03379648646835795E-05 )
( 5.44078976241495335E-04 , -1.03951154194480014E-03 )
( 6.73377831912732780E-04 , 2.84021533004920335E-04 )
( -3.78324432545106481E-04 , 3.70568675960980271E-04 )
( -5.49262378936429111E-05 , 1.14882250602494794E-03 )
( -9.81412731876389437E-04 , 1.92707228793089261E-04 )
( 9.39085625659574806E-04 , -8.99518676674481181E-04 )
index: 13
( 1.53328175753254174E-04 , -3.32432062185514243E-04 )
( -4.74799947055787232E-04 , -4.92003734480101493E-05 )
( 2.19922114517266589E-03 , 8.88446443375225407E-04 )
( 2.77485978603550683E-03 , -2.55322395967128219E-04 )
( -3.76405659174271386E-04 , 7.18509726600647259E-05 )
( 1.13691194007291621E-03 , 5.12003884937480957E-04 )
( -6.21937764758784001E-04 , -1.09225396875580328E-03 )
( 5.14931769746541836E-04 , 1.36448755284773802E-04 )
( 1.44546807477680377E-04 , 1.87672280898030890E-03 )
( 1.07966544092071167E-03 , -1.09622362386968867E-03 )
( 3.44323683199393980E-04 , -5.38539735077893400E-04 )
( 7.31889195368761098E-04 , 9.33193282395668178E-04 )
index: 14
( 9.57065080406202529E-04 , 6.84224773484268592E-04 )
( 5.65385744426271774E-04 , 2.02087553302574349E-04 )
( 1.28847353974658298E-03 , -9.22952631011099162E-04 )
( -1.06827836324812188E-03 , -5.17707971091222905E-04 )
( 8.57865960600227156E-04 , 3.14313748631308621E-04 )
( 2.22253194554557568E-03 , 7.66315176283132457E-04 )
( 4.98187251428907837E-04 , -1.15482583203898822E-03 )
( 9.73975783869679423E-04 , 2.30133200885702374E-03 )
( -5.29933368876737759E-04 , -9.85409667631108625E-04 )
( -2.64203415760401981E-04 , 1.44329928963810201E-03 )
( -7.35981045665199188E-04 , -8.72288427168936217E-06 )
( -1.96678859230358429E-04 , 7.49072449656520501E-04 )
index: 15
( -8.37783313058171005E-05 , -5.93133177250160216E-05 )
( -1.39111221829857790E-04 , 2.69908831983206956E-04 )
( -3.96299660926500725E-04 , -9.30192342814632409E-04 )
( 9.54359516601556782E-05 , -6.57456439446296899E-04 )
( 1.06143962633461261E-03 , -8.87813514146239789E-06 )
( 9.12192589134865712E-04 , -3.98665096142130368E-04 )
( 1.59862097892807947E-03 , -3.23105271484795328E-04 )
( -1.92408317039055468E-05 , -9.98506239411425280E-04 )
( 6.87925705813280581E-04 , 4.45899560958867283E-04 )
( 6.19183224898562810E-04 , -1.01139744871841597E-03 )
( -2.19589288420476861E-04 , 8.56197104395260938E-04 )
( -8.28678650803547565E-04 , 1.59053750073555225E-04 )
index: 16
( 2.63787576776987093E-04 , 3.63914925452582527E-04 )
( -3.95657621306750511E-04 , -7.34789091071016628E-04 )
( -9.57254755788550715E-04 , -5.01116971217582287E-04 )
( -7.89035978573316560E-04 , -1.98708618471423511E-04 )
( -4.65613293812221652E-04 , -9.28286626528810666E-04 )
( 1.20997244847969947E-03 , 6.02773966426335575E-04 )
( -2.28098460044320059E-04 , 5.62774055800871237E-05 )
