index: 0
( -3.19576301783788874E-01 , -1.13655969515970545E+00 )
( 3.54727489547169539E-01 , -2.70836044960988120E-01 )
( -8.32595002719128674E-02 , 1.24771327998353998E+00 )
( 3.59825969787030825E-02 , 8.45553624693621719E-01 )
( 1.18397474151834969E+00 , 6.13389388711472749E-02 )
( 1.08326459319510415E+00 , -7.00594873410505161E-03 )
( -2.28200893618189550E-02 , -1.43941845480933639E-01 )
( -1.03149202338198154E+00 , 7.24813905747828668E-04 )
( -4.38800623416749358E-01 , -7.50827636509192320E-03 )
( 8.49891322269565874E-01 , -2.48890912527065578E-01 )
( -1.54406901553565429E-01 , 1.93187387850940168E-01 )
( 9.12613642438944273E-01 , 4.57513526135121362E-01 )
index: 1
( 5.25910623695201696E-01 , -8.50039117079668283E-01 )
( 4.45845645955889769E-01 , -1.05256522638851102E+00 )
( -6.00398858754163212E-01 , -5.03148378571662724E-01 )
( 6.49538059320304423E-02 , -8.22086840937238494E-01 )
( -2.96070054311301289E-01 , -7.90047800423503532E-01 )
( -1.91645523842270710E-01 , 8.99381594899925640E-02 )
( -1.72025966861240076E+00 , 6.90416004429317276E-01 )
( -6.98405275054943653E-01 , 3.30375110819353723E-01 )
( -9.23179128054841480E-01 , -2.90156153855687882E-01 )
( 6.57312203909760778E-02 , -7.57723161028446168E-01 )
( -9.93845744445005175E-01 , 2.52055932524406223E-01 )
( -1.71633713723888498E-01 , -4.28551596447313388E-01 )
index: 2
( 2.73534025285787907E-01 , -7.11355152937420243E-01 )
( -4.18572429049699435E-01 , -7.44684132209572497E-02 )
( 1.92398902789857135E-01 , -6.16645810284584095E-01 )
( -8.44160226108870537E-01 , -1.16899070796458199E-01 )
( -1.12264553097581543E+00 , -7.96245180369304140E-01 )
( -1.07232360376236735E-01 , -2.71948864628114351E-01 )
( 1.20479529648700290E-01 , -5.95867418170049290E-01 )
( -5.47603906131826634E-01 , -3.49336531389027150E-01 )
( -5.57676478775627649E-01 , -1.20986134432691891E-01 )
( -3.81496692071294552E-01 , 3.84881270074389603E-01 )
( -3.30101946057266282E-01 , -8.56141902667892030E-01 )
( -1.15867848669067672E-01 , -9.54484135631777253E-01 )
index: 3
( 5.89120017462610224E-01 , -6.40721079968986640E-01 )
( 3.84359359987653082E-01 , -3.40396424040422751E-01 )
( 6.42986768757636717E-01 , -4.76264568790745468E-01 )
( -9.01145070195972564E-01 , 5.79686716777204847E-01 )
( -3.12658150661034862E-01 , 2.35720609387827795E-01 )
( -1.07778390766213406E+00 , 1.12982668336868453E+00 )
( -6.73044369934912567E-01 , -1.34262802283406635E+00 )
( -1.96646728099701379E-01 , 1.87663230826703054E-01 )
( 7.41531259924930519E-01 , -1.15582843329953500E+00 )
( -1.11063545556758281E+00 , 6.84020170120051896E-01 )
( -1.06754600395711474E+00 , -6.38036276551671278E-01 )
( -2.38157742480358675E-01 , 7.02678248024470986E-01 )
index: 4
( 8.58168935849286330E-01 , -1.07925070015701929E+00 )
( 9.00892074610409432E-01 , -1.88987772347641814E+00 )
( -1.87918801641610678E-01 , -7.92014870636668089E-01 )
( -4.42901744563042432E-01 , -5.66547716620593167E-02 )
( 6.31989380018587510E-01 , -6.45679547548867472E-02 )
( 8.05605016368412419E-01 , 6.66610814238935867E-01 )
( -5.50274125634431011E-01 , -7.93343567858487697E-01 )
( 2.56093515562998419E-01 , -7.54743458126120315E-01 )
( -1.38480615519835903E+00 , -3.34149001292393666E-01 )
( -1.39829492666073918E+00 , 1.32481000308073171E+00 )
( -3.37223977086492599E-01 , -4.97109034571997344E-01 )
( -3.30159822276892057E-01 , 1.04583595463047718E+00 )
index: 5
( 8.27640821556541617E-01 , 5.84663387289809044E-01 )
( 9.08195920914326549E-01 , 3.98061115885525840E-01 )
( -1.21668561395765829E+00 , -5.72258449273619130E-01 )
( 9.24667063346979567E-01 , 1.12798296284147281E+00 )
( -6.84081647384317426E-01 , 1.33762628439076470E+00 )
( -6.07014270758142516E-01 , -1.09946492141044766E-01 )
