x=0,y=0,z=0,t=0
( -4.92076581542481301E-06 , 1.12267916999962805E-05 )
( -1.54667047149634005E-05 , 1.05820039609538739E-05 )
( -2.88077939911937821E-06 , -7.06439163096200750E-06 )
( -3.43818899581452505E-06 , 3.71527200132603908E-07 )
( 5.97853168828415857E-06 , -9.43401545381270678E-06 )
( -1.82647208061075242E-06 , -1.32960449445661888E-06 )
( 6.35622946554122681E-06 , -9.10926671823852950E-06 )
( -1.85789240946490386E-05 , -9.79600355130119535E-07 )
( -1.04192854364194512E-05 , -6.62104689589188098E-06 )
( -7.37982049119772285E-06 , 1.68348940677203491E-05 )
( 4.10036418206942244E-06 , 7.90506870757793991E-06 )
( -1.09446285415240706E-05 , -4.31872674078754398E-07 )
x=1,y=0,z=0,t=0
( 5.74730060957910880E-06 , -1.35023490633639447E-06 )
( -6.18886234451115128E-06 , 1.91458223011509100E-06 )
( 7.92486880859413989E-06 , -1.40272985492503000E-05 )
( 4.44935232386139870E-06 , 4.55260921183856505E-06 )
( 5.47188931493294079E-06 , 4.98666254152106799E-06 )
( -5.45412880112605945E-06 , 1.67497261619502780E-05 )
( 6.55792157957972201E-06 , -5.94957398213659976E-06 )
( 9.13867321381816393E-06 , -5.95336276079093824E-06 )
( 8.96696254384629438E-06 , -1.27666359885250761E-07 )
( -1.11346655163774372E-06 , 2.11740652233839558E-06 )
( 1.00533791086515185E-05 , 8.31318164239611791E-06 )
( -1.10993930141756825E-05 , 1.63823600101979440E-06 )
x=2,y=0,z=0,t=0
( -4.39380261754852058E-06 , 4.01711740935560644E-06 )
( 2.95584442643490922E-06 , 6.43573318317503157E-06 )
( 3.82541067811156760E-06 , 1.15596305865124092E-06 )
( 1.05964678259086272E-06 , 3.16314571189625377E-06 )
( -8.45163157037854121E-06 , 1.87656825552830395E-05 )
( -1.62245190111495808E-06 , 8.56412377517987024E-06 )
( 4.13184892807231587E-06 , -8.87267482874904600E-06 )
( -6.13369479878071472E-06 , -2.45186847278194372E-06 )
( -1.33541263647214528E-05 , 3.68605840057295599E-06 )
( -1.65866668898394817E-06 , 3.78276964631247958E-06 )
( 1.16429113248062254E-05 , 2.28532191302153595E-07 )
( -1.03925555222257119E-05 , 1.26710904029248340E-05 )
x=3,y=0,z=0,t=0
( 6.74231164757546002E-06 , 1.27033061970229744E-05 )
( -6.92600400339681298E-07 , -3.57203205380041477E-06 )
( -1.26858494209980486E-06 , -6.36539963730274686E-06 )
( -2.34884992027218186E-06 , 9.14922508052184422E-06 )
( 7.93479801408858146E-07 , -1.91742746237202824E-06 )
( 1.88890528244511951E-05 , -3.46556491993107875E-06 )
( 6.31326858868187270E-06 , 6.13248793494559646E-07 )
( -2.99538597591457429E-06 , -1.51216819790608135E-06 )
( -9.23746333082610470E-07 , -2.41182060340037789E-06 )
( -2.60228924616953175E-06 , 1.12151023089324697E-05 )
( 7.67145426367538506E-06 , -4.10540784777127167E-06 )
( 2.71782454400516832E-06 , -1.49232087017689753E-06 )
x=0,y=1,z=0,t=0
( -5.77533253960895780E-07 , 1.30433407483799063E-05 )
( 7.80612074876930156E-06 , 6.80894171966305525E-06 )
( 1.16499185223565171E-05 , 4.93642103806944754E-07 )
( -1.68084699010083827E-06 , 4.55769669098979533E-06 )
( -1.00798519798884734E-06 , 6.55743213215491617E-07 )
( -1.24536286991564043E-05 , 3.90115092269491819E-06 )
( -4.03192982972966805E-07 , 2.20844698434925802E-06 )
( 1.17220755269479064E-05 , 4.62719156655888720E-06 )
( -2.90875937451628883E-06 , 2.66295251170311650E-06 )
( -8.73711539279003408E-06 , -1.09853186168185949E-05 )
( -5.27837728431494921E-06 , 6.02538044614612711E-06 )
( 1.46276094136000073E-06 , -6.61588077446421088E-06 )
x=1,y=1,z=0,t=0
( -4.51622393783735471E-06 , 9.20563363458253191E-07 )
( -5.95723300366746268E-06 , 7.47536091584061352E-06 )
