index: 0
( 2.45564181128144629E-12 , -2.68794213793236615E-10 )
( -9.65769249131322027E-12 , 1.51944408440347976E-10 )
( -6.10455293869217332E-10 , -1.38164358622715872E-10 )
( -3.22845312211740669E-10 , -2.93371326532956547E-10 )
( -9.02180358634412109E-10 , -1.08053074829858918E-09 )
( 4.32939260213964811E-10 , 7.67881368609947219E-10 )
( -2.51819520358915319E-10 , 1.39447160236304494E-10 )
( 3.44459111155662443E-10 , 7.32493883090988182E-10 )
( -3.16815609199821959E-10 , -9.37839137277802200E-12 )
( 1.02469716360624769E-10 , -1.88251279236281703E-10 )
( -1.60975637802443626E-10 , 2.62670324977362687E-10 )
( -5.75533510397782263E-10 , -2.11164468187442841E-10 )
index: 1
( 2.61584024493733082E-10 , 5.09690247604968254E-12 )
( -1.74044338971727437E-10 , 1.05328142968226487E-10 )
( 1.38614547335182549E-10 , 2.71015022768073382E-10 )
( -1.34612447013564558E-10 , 4.80977784483208389E-11 )
( -6.85360144403086332E-10 , 5.30609255641688132E-10 )
( 3.11737755381802095E-10 , 2.56908202042423797E-10 )
( 3.12126635033000825E-10 , 3.16494796079034536E-10 )
( 5.25715392065443374E-10 , 3.23266769283943033E-10 )
( -2.42521926906264243E-10 , 4.22792596528487781E-10 )
( 1.31176276066631494E-10 , -3.96770405492913526E-10 )
( -2.84805085381429727E-10 , 4.80195791841373649E-10 )
( -4.01416500028805961E-10 , 8.67161195707595867E-11 )
index: 2
( -3.90646774187040376E-10 , 3.28161306626924683E-10 )
( 7.66918894956018615E-10 , 1.03873291515813486E-09 )
( 7.98613627773138837E-10 , 1.05113988068562120E-10 )
( -1.27817201554415309E-10 , 8.10430117837996771E-10 )
( -6.55313029047604652E-10 , 1.04200336771563133E-10 )
( 7.22569411865400824E-10 , 5.74705436904461151E-10 )
( -8.14976691025324958E-10 , 6.79485006282310148E-10 )
( -1.56555067137378107E-10 , -4.45996116056981388E-11 )
( -3.21681935089609775E-10 , -2.70694481049822813E-10 )
( -7.13034792081233730E-11 , 3.49890661420279102E-10 )
( 1.07475783220882752E-10 , 5.91350157194618317E-10 )
( -3.91126610712623974E-11 , 6.66928345667636664E-10 )
index: 3
( -1.19018652014866804E-10 , -1.11429392047565646E-10 )
( 6.07034767038306258E-10 , 3.91152279860156858E-10 )
( -2.19210180738394806E-10 , 5.24888248326540616E-10 )
( 1.05778852332741226E-10 , -1.03500805954485903E-10 )
( -1.35924681913817069E-10 , 3.18389474730050808E-10 )
( -9.76110076601890549E-10 , -9.92884414386171456E-11 )
( 1.31938071273270376E-10 , 9.67106541453290241E-10 )
( -3.60049483374190872E-10 , -6.86090299731609539E-11 )
( 4.32105584087400322E-10 , 4.27483505249701639E-10 )
( 1.56477652383528470E-10 , -5.95964947177911579E-11 )
( 9.32191792041551003E-10 , -2.08034416242314335E-10 )
( -3.34299374171939558E-10 , 3.54580116057497551E-10 )
index: 4
( -2.98516808724876814E-10 , 1.06190746300788179E-10 )
( 1.77694847128457009E-10 , 3.20369952469314646E-10 )
( 8.10685968658811482E-10 , 2.26778647349940844E-10 )
( 5.10975987480537464E-10 , 8.48526243422549602E-11 )
